time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.330173,0.33311799999999997,0.3314433,0.33137300000000003,0.0007044218267487238,0.330621,0.332957,0.33169794999999996,0.331693,0.0006359872227490142,0.006112,0.00672,0.006539100000000001,0.006624,0.00018021817333443356,0.05344,0.054624000000000006,0.053922700000000004,0.0538555,0.00028452839928555556,32,8,4096,14336,128256,True,512,8
0.325469,0.32969200000000004,0.3271761,0.3270685,0.00100748016853931,0.325181,0.3287959999999999,0.32671534999999996,0.326637,0.0008866118809828733,0.005952,0.006718999999999999,0.006521400000000001,0.0066075000000000005,0.00019916184373518927,0.052383000000000006,0.05327900000000001,0.052796350000000006,0.0527675,0.0002247414681361688,32,8,4096,14336,128256,True,504,8
0.32076499999999997,0.324925,0.32262430000000003,0.3226525,0.0010862438998678048,0.32012499999999994,0.322909,0.32124530000000007,0.32122950000000006,0.0007315083116410985,0.006048,0.00672,0.00642075,0.00656,0.0002697463391781247,0.051456,0.052351,0.0518155,0.051839500000000004,0.0002587636952897368,32,8,4096,14336,128256,True,496,8
0.31570500000000007,0.31893800000000005,0.3174930000000001,0.317673,0.0008959470966524726,0.31605799999999995,0.318682,0.3170837,0.316986,0.0005907805091571726,0.005888,0.006784,0.006467199999999999,0.006608,0.00026904787678032316,0.050431,0.051615,0.05097975000000001,0.050943,0.0002485797407271967,32,8,4096,14336,128256,True,488,8
0.31122900000000003,0.313757,0.31244059999999996,0.31231699999999996,0.000685220139809094,0.309981,0.312925,0.31163559999999996,0.3117255,0.0006811296792828817,0.005983,0.006784,0.0064751,0.006592,0.0002567272677375739,0.049759000000000005,0.050783,0.0502268,0.050239500000000006,0.00026955771181696797,32,8,4096,14336,128256,True,480,8
0.30498899999999995,0.30847800000000003,0.30680365,0.30690950000000006,0.0009323617471239398,0.304542,0.308573,0.30657654999999995,0.306413,0.0010123535684236006,0.006048,0.006624,0.006230350000000001,0.006112,0.000202068620770272,0.049023000000000004,0.049823,0.04942985,0.04944,0.0002559060911740854,32,8,4096,14336,128256,True,472,8
0.30041300000000004,0.30390100000000003,0.30207235,0.301949,0.0008268578036760591,0.299453,0.302781,0.30115225,0.301133,0.0008809426698145608,0.005952,0.006240000000000001,0.006113600000000001,0.006112,7.867362963534867e-05,0.047647,0.048863000000000004,0.04818815,0.048271,0.0002930805819224465,32,8,4096,14336,128256,True,464,8
0.295422,0.298334,0.2967624,0.29658999999999996,0.000758632612006633,0.29468500000000003,0.297886,0.29597355,0.29582200000000003,0.0009619369249072331,0.005856,0.006208,0.0060577,0.00608,8.290060313411486e-05,0.047134999999999996,0.048192,0.047558,0.047567500000000006,0.00027552930878583495,32,8,4096,14336,128256,True,456,8
0.290301,0.293629,0.29162105,0.2914855,0.000754701164369049,0.28963,0.29164500000000004,0.29049790000000003,0.29038050000000004,0.0005777295993801978,0.005856,0.006208,0.006060600000000001,0.006063500000000001,7.185429701834127e-05,0.045728000000000005,0.04694400000000001,0.04653885000000001,0.046623,0.00025810584553628385,32,8,4096,14336,128256,True,448,8
0.28489400000000004,0.287582,0.28633045,0.286302,0.0006704032722921259,0.283964,0.287389,0.2852217,0.28508600000000006,0.0008971093634557636,0.005951,0.006240000000000001,0.00604,0.0060325000000000005,6.932892614197938e-05,0.045151000000000004,0.046208,0.04563965,0.0456,0.0002777729783474269,32,8,4096,14336,128256,True,440,8
0.279841,0.28380800000000006,0.28137304999999996,0.281185,0.001045631602190759,0.27910399999999996,0.28067200000000003,0.2799106,0.27990449999999995,0.0005233781042420464,0.006048,0.006368,0.0061904,0.006176,0.00010243798123742975,0.044224,0.045408000000000004,0.044940749999999995,0.044976,0.000304684570498738,32,8,4096,14336,128256,True,432,8
0.274558,0.27779000000000004,0.2764918,0.27658950000000004,0.0008461314082339744,0.27385299999999996,0.27650899999999995,0.27510945000000003,0.27486150000000004,0.0007224046286535011,0.006304000000000001,0.006848,0.006569549999999999,0.006560000000000001,0.00012361976985903166,0.043551,0.044511,0.04404285000000001,0.044048,0.0002720724673685303,32,8,4096,14336,128256,True,424,8
0.269853,0.272798,0.27127265,0.27116549999999995,0.0009032593910389256,0.268925,0.271198,0.26983290000000004,0.26987,0.0005634805143037211,0.006208,0.0066879999999999995,0.006463949999999999,0.006464,0.00012025367977737728,0.042463,0.043647,0.04303800000000001,0.043007500000000004,0.0003157967700911456,32,8,4096,14336,128256,True,416,8
0.264155,0.267517,0.26568085,0.26566200000000006,0.0008239072323386954,0.263773,0.26652600000000004,0.26519755,0.265213,0.0006977760726049584,0.005856,0.006496000000000001,0.00616475,0.006208,0.00015086413589717094,0.041792,0.04272,0.0421242,0.042095499999999994,0.00021048268337324139,32,8,4096,14336,128256,True,408,8
0.25842899999999996,0.261853,0.26056855,0.26081350000000003,0.0008499448496814424,0.257725,0.26079800000000003,0.2595365500000001,0.25978999999999997,0.0008886713382910433,0.005952,0.006656,0.00629585,0.006240000000000001,0.00018035805360448967,0.040543,0.041408,0.0408986,0.040895,0.00019960020040070062,32,8,4096,14336,128256,True,400,8
0.25436600000000004,0.25702200000000003,0.2557161499999999,0.255709,0.0007023010234222919,0.25324599999999997,0.255903,0.25430179999999997,0.25422100000000003,0.0006684456298009612,0.005984,0.0064,0.006135750000000001,0.006112,0.00010723985966048248,0.039710999999999996,0.040479,0.039986850000000004,0.039968000000000004,0.00018329491946041479,32,8,4096,14336,128256,True,392,8
0.247582,0.251262,0.24992305000000004,0.2500945,0.0009993007292602176,0.24691,0.250014,0.24867955000000003,0.2490865,0.000940101402775252,0.005952,0.006432,0.006176050000000001,0.006208,0.0001537375929953375,0.038208,0.03936,0.0387277,0.0387835,0.00030665454505028996,32,8,4096,14336,128256,True,384,8
0.24393399999999998,0.246333,0.24520915000000004,0.24539,0.0006609684769336594,0.2432,0.246334,0.24479954999999998,0.24473350000000005,0.0007993627133535834,0.005888,0.0063360000000000005,0.00603835,0.005984,0.00013316954419085485,0.03696,0.038272,0.03744455,0.037376000000000006,0.0003395696504400823,32,8,4096,14336,128256,True,376,8
0.23766,0.24162799999999998,0.23958300000000005,0.23974,0.0009079335328095335,0.23810900000000004,0.241052,0.23934165000000002,0.23916400000000002,0.0008475710751907436,0.00592,0.0063360000000000005,0.0061087,0.006096000000000001,0.00015408702086807985,0.035839,0.036735,0.036300000000000006,0.036351499999999995,0.0002589718131380324,32,8,4096,14336,128256,True,368,8
0.232958,0.235774,0.23436760000000004,0.234462,0.0006778323834105287,0.233629,0.235551,0.23446520000000004,0.23435,0.0005763468226684293,0.00592,0.006432,0.006183849999999999,0.006208,0.00012725811369024786,0.03472,0.035552,0.03519825,0.035279500000000005,0.00024796186702797626,32,8,4096,14336,128256,True,360,8
0.227902,0.23001400000000002,0.22884600000000002,0.22875,0.0006235999518922408,0.225887,0.229471,0.22796305000000006,0.228079,0.0008574089149874812,0.00592,0.0064,0.0061439500000000005,0.006208,0.00014668622123430704,0.033919,0.035232,0.03467170000000001,0.0347355,0.0003493677289046609,32,8,4096,14336,128256,True,352,8
0.22227000000000005,0.22527800000000003,0.22372920000000002,0.22378950000000003,0.0008342179331565547,0.22175899999999998,0.226111,0.22382059999999998,0.2236465,0.001155588092704319,0.00592,0.006368,0.006120000000000001,0.006144,0.0001458002057611719,0.03296,0.034048,0.0335436,0.0335675,0.000275710427804245,32,8,4096,14336,128256,True,344,8
0.21641399999999997,0.21919799999999998,0.21793115,0.21798250000000002,0.0007248659376050152,0.21622200000000003,0.218878,0.21775339999999996,0.21777399999999997,0.0006092578600231538,0.005888,0.006368,0.006137600000000001,0.006192,0.00015576629930764895,0.031968,0.03312,0.0324719,0.0324635,0.0003156581853841275,32,8,4096,14336,128256,True,336,8
0.211261,0.214654,0.2125836,0.21234999999999998,0.0008961146913202534,0.210879,0.21401399999999998,0.21258999999999997,0.21262199999999998,0.000736730276288408,0.005856,0.006304000000000001,0.0060576,0.006064,0.00013079732413165052,0.031136,0.032064,0.031594849999999994,0.031615500000000005,0.0002832458781694795,32,8,4096,14336,128256,True,328,8
0.20598399999999997,0.20844599999999996,0.20708465,0.207006,0.0006415833753301251,0.204926,0.207998,0.20652935,0.206366,0.0008749519572525102,0.005856,0.006144,0.0059744,0.005984,8.038308279731513e-05,0.031936,0.033215,0.03240455,0.0324315,0.000301713021760746,32,8,4096,14336,128256,True,320,8
0.200286,0.203326,0.20178529999999997,0.2017905,0.0007115215457032945,0.199582,0.203614,0.20163804999999999,0.20180599999999999,0.0008864398160619743,0.005888,0.006208,0.0060304,0.0060160000000000005,8.964284689812131e-05,0.030624,0.031968,0.031331000000000005,0.031407500000000005,0.0003760521240466541,32,8,4096,14336,128256,True,312,8
0.194206,0.19696,0.195512,0.1953915,0.0006939649126576947,0.194494,0.197022,0.19584785000000002,0.195838,0.0006409763860704971,0.005824,0.006176,0.00600645,0.006000500000000001,9.962403073556106e-05,0.030335,0.031103000000000002,0.030748450000000004,0.030767999999999997,0.0002011023309163771,32,8,4096,14336,128256,True,304,8
0.18802999999999997,0.19030400000000003,0.18880190000000002,0.188798,0.0006215196617968006,0.188702,0.19100799999999998,0.1897935,0.1896295,0.000637819841334522,0.005823000000000001,0.006144,0.0059695,0.005984,0.00010089821603972982,0.028607,0.029824000000000003,0.02912295,0.0290555,0.0003228788433762739,32,8,4096,14336,128256,True,296,8
0.18166200000000002,0.18316600000000002,0.18244305,0.18247800000000003,0.0003845823026349526,0.18150200000000002,0.183037,0.1822974,0.182302,0.000446560119132915,0.005824,0.006304000000000001,0.00600155,0.005984,0.0001249097574251108,0.027359,0.028256,0.02777095,0.0277915,0.0002426791039624139,32,8,4096,14336,128256,True,288,8
0.17449400000000004,0.17731,0.17620520000000003,0.1762235,0.0008558771290319516,0.175232,0.17785399999999998,0.17622410000000002,0.17609550000000002,0.0006594878998131789,0.00592,0.006240000000000001,0.00606555,0.006048,8.968861410457868e-05,0.026368,0.027808,0.027039749999999994,0.0270235,0.0003413856873098224,32,8,4096,14336,128256,True,280,8
0.168288,0.17075200000000001,0.16974724999999996,0.16979,0.0006779690166224414,0.168191,0.17087800000000003,0.16935045,0.1693425,0.0006988147447643065,0.005792,0.006144,0.00597115,0.005952,9.233757360901367e-05,0.02576,0.026656,0.026190200000000004,0.0262235,0.0002386297550600085,32,8,4096,14336,128256,True,272,8
0.16255900000000004,0.16422199999999998,0.16332175,0.163327,0.0005265241566158211,0.16249400000000003,0.165759,0.16428345,0.16428700000000002,0.0008167159527644776,0.0057599999999999995,0.006046999999999999,0.005897299999999999,0.005888,7.553681221762012e-05,0.024512000000000003,0.025632000000000002,0.0250687,0.0251195,0.0002944045006449463,32,8,4096,14336,128256,True,264,8
0.15442999999999998,0.156222,0.15525640000000002,0.155279,0.0004829896893309425,0.15478300000000003,0.157598,0.156069,0.1559025,0.0007409616724230747,0.0057599999999999995,0.00608,0.005950400000000001,0.005952,6.352904847390693e-05,0.022848,0.024128,0.023403049999999998,0.023312,0.0002994495742190994,32,8,4096,14336,128256,True,256,8
0.148032,0.151679,0.14958900000000003,0.14935800000000002,0.000922284121081997,0.147841,0.15113400000000002,0.14945155000000002,0.149503,0.000758818125442456,0.005792,0.006112,0.0059423,0.005952,7.989311609894814e-05,0.021504000000000002,0.022688,0.0220222,0.022,0.0003141467173153327,32,8,4096,14336,128256,True,248,8
0.140062,0.144063,0.14201805,0.142143,0.001167764893931991,0.139326,0.142367,0.1409156,0.1409915,0.000767505205194075,0.005792,0.006112,0.005924850000000001,0.00592,8.48087701832777e-05,0.020640000000000002,0.02176,0.02121595,0.021168,0.0002579181023115671,32,8,4096,14336,128256,True,240,8
0.13132600000000003,0.136095,0.13319115,0.133245,0.0011330063227978898,0.13058999999999998,0.13545300000000002,0.1330616,0.132797,0.0013093034942289,0.005792,0.0060160000000000005,0.005892799999999999,0.005888,5.0875927509972705e-05,0.020384,0.02144,0.02092915,0.0209755,0.0003125980286246229,32,8,4096,14336,128256,True,232,8
0.12579,0.127552,0.12658450000000002,0.12643,0.0005863159131389822,0.12355,0.128704,0.12541625,0.125055,0.0013230771661169268,0.005728,0.006112,0.0058846,0.0058720000000000005,0.00010687488011689186,0.019872,0.020896,0.020503850000000004,0.020512000000000002,0.00021295099788449015,32,8,4096,14336,128256,True,224,8
0.115905,0.119102,0.11728530000000001,0.117343,0.0008594526223125966,0.11484800000000002,0.11817299999999999,0.11635705,0.116367,0.0007459029745885123,0.005728,0.006079,0.0059134999999999995,0.0059195,9.00469322075995e-05,0.018784,0.019648,0.0191695,0.019263500000000003,0.00023917409976834908,32,8,4096,14336,128256,True,216,8
0.10841400000000002,0.110751,0.10944385000000001,0.10940749999999999,0.0006776995112142263,0.105342,0.10956800000000001,0.10764240000000003,0.10772800000000002,0.0009507315288765847,0.005728,0.005984,0.00588295,0.005888,5.829963550486391e-05,0.019231,0.020192,0.01964945,0.0196635,0.0002822503277234594,32,8,4096,14336,128256,True,208,8
0.09977699999999999,0.10496,0.10246179999999998,0.10238249999999999,0.0012735712229789082,0.09846300000000001,0.10358199999999998,0.1008741,0.101247,0.001318322263333207,0.005696,0.006015,0.00584485,0.0058245,7.304127257927538e-05,0.018015,0.019264,0.0186076,0.0185435,0.00036930670180759,32,8,4096,14336,128256,True,200,8
0.093472,0.097439,0.0951257,0.095024,0.0009957258709102615,0.09187100000000001,0.09705499999999999,0.09350834999999999,0.09336,0.0011331832718055749,0.005792,0.0059830000000000005,0.0058878,0.005903500000000001,6.055873182291704e-05,0.016128,0.01712,0.0166527,0.016720000000000002,0.00031935248550778536,32,8,4096,14336,128256,True,192,8
0.088416,0.09184099999999999,0.09028125000000001,0.09038399999999999,0.000753142806843428,0.085759,0.089408,0.08759605000000001,0.08771200000000001,0.0009264002631152469,0.005664,0.005984,0.0058449,0.005856,7.592753123867521e-05,0.015424,0.016033000000000002,0.0157328,0.015728,0.00016757911564392554,32,8,4096,14336,128256,True,184,8
0.08140800000000001,0.085439,0.08330185,0.0833605,0.0010697540500040161,0.08092899999999999,0.08742499999999999,0.08318675,0.08303950000000002,0.0014426105113647281,0.005696,0.00608,0.0058144,0.0058085,9.273154802978346e-05,0.014784,0.01536,0.015083049999999997,0.015103499999999999,0.0001639013346498433,32,8,4096,14336,128256,True,176,8
0.075584,0.081247,0.07713855,0.076815,0.0014021945469513137,0.07535900000000001,0.079455,0.07731485,0.077264,0.0010218729018327075,0.005599000000000001,0.005984,0.0057679,0.0057595,9.037803936797929e-05,0.013375,0.01408,0.01373105,0.0137275,0.00021723477507065974,32,8,4096,14336,128256,True,168,8
0.069088,0.07126500000000001,0.07015615,0.0700955,0.0005746800218382417,0.06889599999999999,0.071326,0.07014794999999999,0.0701115,0.0006679129041274769,0.0057599999999999995,0.005984,0.005863999999999999,0.005856,6.30935812900171e-05,0.012735,0.01328,0.01304305,0.013023,0.00015102498965403012,32,8,4096,14336,128256,True,160,8
0.063455,0.06518399999999999,0.06446345,0.06465599999999999,0.0005924940062987987,0.063296,0.065089,0.06409555000000002,0.0641265,0.00047131279157264255,0.005664,0.005984,0.005811149999999999,0.005824,7.936578292942123e-05,0.011231999999999999,0.011808,0.011548800000000001,0.011552,0.00013228854825720953,32,8,4096,14336,128256,True,152,8
0.06070200000000001,0.062431,0.06167925,0.06174249999999999,0.00045185505142689115,0.05747200000000001,0.059614999999999994,0.0586269,0.058576500000000004,0.000626351171468528,0.005568,0.005888,0.00575845,0.005775499999999999,8.557188498566576e-05,0.01056,0.011167,0.010794999999999999,0.0108155,0.00017399080435471264,32,8,4096,14336,128256,True,144,8
0.053089000000000004,0.05494400000000001,0.053791750000000006,0.05375900000000001,0.00045647057681738986,0.052736000000000005,0.055264000000000015,0.05402355000000001,0.0541595,0.0005997002146906425,0.005632,0.00592,0.0057677499999999994,0.0057599999999999995,7.758986725082101e-05,0.009472,0.009953,0.00969125,0.009632499999999999,0.00013820559865649465,32,8,4096,14336,128256,True,136,8
0.04953500000000001,0.052705,0.05042490000000001,0.05025600000000001,0.0008099302377365578,0.048672000000000014,0.04972700000000001,0.049166100000000004,0.04911950000000001,0.00029655706027677004,0.005568,0.005792,0.00567515,0.005664,4.876707393313645e-05,0.00944,0.010112,0.00966705,0.009631500000000001,0.00017902080186391753,32,8,4096,14336,128256,True,128,8
0.044030999999999994,0.04537600000000001,0.0446316,0.0446555,0.0004150386006144481,0.043807000000000006,0.04470300000000001,0.044148349999999996,0.044111000000000004,0.0002353476736660042,0.005632,0.005888,0.005731150000000001,0.005712,6.712248133077336e-05,0.008672000000000001,0.009536,0.00908485,0.009056,0.00020140265018117265,32,8,4096,14336,128256,True,120,8
0.042208,0.043456,0.04270315000000001,0.042688000000000004,0.00029332716802233044,0.042111,0.043295,0.042780200000000004,0.042751000000000004,0.00030684859458697175,0.005536,0.0057599999999999995,0.0056479,0.005632,5.676697983863493e-05,0.008095000000000001,0.008799,0.0083599,0.008320000000000001,0.00018267837857830892,32,8,4096,14336,128256,True,112,8
0.04000000000000001,0.04147200000000001,0.040492450000000006,0.040512000000000006,0.0003699731713246265,0.040094000000000005,0.041280000000000004,0.040596150000000004,0.040560000000000006,0.00033025040121096027,0.005632,0.005824,0.0056959,0.0056795000000000005,5.637100318426139e-05,0.007328,0.00816,0.007774350000000001,0.007792,0.0001965154637681219,32,8,4096,14336,128256,True,104,8
0.038528,0.04057700000000001,0.03929575000000001,0.03916650000000001,0.0005413442412181014,0.038753,0.039710999999999996,0.0391644,0.03912,0.0002785005206458323,0.0056,0.005729000000000001,0.005651249999999999,0.005632,3.980813359101377e-05,0.006816,0.00736,0.007123199999999999,0.00712,0.00013248154588470058,32,8,4096,14336,128256,True,96,8
0.03696,0.038113,0.037534000000000005,0.0374715,0.00037037994006155323,0.037277000000000005,0.038593,0.03777190000000001,0.0376165,0.0003316891466418519,0.0056,0.0057599999999999995,0.005646399999999999,0.005632,4.23017730124872e-05,0.006656,0.007200000000000001,0.0069008,0.006848,0.00016704328780289268,32,8,4096,14336,128256,True,88,8
0.03456,0.035904,0.03509910000000001,0.0349915,0.000356276984942895,0.034496000000000006,0.035648000000000006,0.035244450000000004,0.035232,0.0003288025965530082,0.005536,0.0057599999999999995,0.0056145,0.0056005,6.433234023413089e-05,0.005665,0.006272000000000001,0.00599355,0.005984,0.00015636447006913063,32,8,4096,14336,128256,True,80,8
0.033023000000000004,0.033921,0.033420950000000005,0.033408,0.00026093245773571344,0.032928,0.033761000000000006,0.03314525,0.033088,0.00016912861230436487,0.0054399999999999995,0.0057599999999999995,0.0055712,0.005568,6.8558442222676e-05,0.004736,0.00528,0.0050415500000000005,0.005039999999999999,0.00014313995773368113,32,8,4096,14336,128256,True,72,8
0.03296,0.033504000000000006,0.03316465,0.0331205,0.00013708036876227035,0.032896,0.033280000000000004,0.0330702,0.0330555,9.806406069503793e-05,0.005408,0.005631000000000001,0.0054847,0.0054719999999999994,5.923942943682045e-05,0.003968,0.0045119999999999995,0.0041984,0.004144,0.00017833210591477924,32,8,4096,14336,128256,True,64,8
0.031297000000000005,0.031936,0.031605850000000005,0.031615500000000005,0.00015978212509539332,0.030751000000000004,0.031648,0.031089500000000003,0.031008000000000004,0.0002162185237207955,0.005344,0.005632,0.00547685,0.005503999999999999,7.176996237981466e-05,0.0036160000000000003,0.004032,0.0037998500000000004,0.0038079999999999998,9.800116070741192e-05,32,8,4096,14336,128256,True,56,8
0.03072,0.031328,0.030932800000000003,0.030880000000000005,0.00018252386145378336,0.031199000000000005,0.031872,0.031550100000000005,0.03158300000000001,0.0001800374683225667,0.005311,0.005536,0.005380749999999999,0.00536,6.89114467994977e-05,0.003264,0.003584,0.0034000000000000002,0.0033915,9.523129737644032e-05,32,8,4096,14336,128256,True,48,8
0.026688000000000003,0.027199,0.026958199999999998,0.026944999999999997,0.0001149219735298694,0.026688000000000003,0.027198,0.026890950000000004,0.0268795,0.00012446022456993948,0.005279999999999999,0.005536,0.00535525,0.005344,6.338365325539382e-05,0.002912,0.003264,0.0030447999999999994,0.00304,9.561255147730344e-05,32,8,4096,14336,128256,True,40,8
0.027037,0.027584000000000004,0.027324550000000003,0.027328000000000005,0.00013483822714646017,0.025439,0.025791,0.02562975,0.025631,7.030709423664185e-05,0.005279999999999999,0.005503999999999999,0.0053935499999999996,0.005391999999999999,6.028637905862309e-05,0.0026560000000000004,0.002816,0.0027151,0.00272,4.3175108569637444e-05,32,8,4096,14336,128256,True,32,8
0.025504,0.026176,0.025692399999999997,0.025663000000000005,0.0001380012318785601,0.025119999999999996,0.025374999999999998,0.025239499999999998,0.0252475,6.358891412817233e-05,0.005183999999999999,0.0054399999999999995,0.00530555,0.005312,7.551521369896278e-05,0.002304,0.00256,0.00238235,0.002368,6.190741070340451e-05,32,8,4096,14336,128256,True,24,8
0.025248000000000003,0.025665000000000004,0.0254593,0.0254565,0.0001014096149287632,0.023743000000000004,0.023934999999999998,0.02381415,0.023808500000000003,4.906554289926866e-05,0.005247999999999999,0.0054399999999999995,0.00534085,0.005344,5.2426400791967474e-05,0.00192,0.0021110000000000005,0.00196145,0.001952,4.518901968398968e-05,32,8,4096,14336,128256,True,16,8
0.021471,0.021952,0.0216847,0.021696,0.00010832825116284288,0.019936,0.020190000000000003,0.020068799999999998,0.02008,6.918858287318825e-05,0.005279999999999999,0.005408,0.0053392000000000005,0.005344,3.243701589234134e-05,0.001696,0.001824,0.0017503500000000001,0.0017439999999999999,4.414212840360103e-05,32,8,4096,14336,128256,True,8,8
0.019712,0.020095,0.0198367,0.019808,9.733503993937607e-05,0.018208,0.018496,0.01834075,0.018319499999999996,8.180395772821796e-05,0.00512,0.005344,0.00523035,0.005215999999999999,5.004525452028395e-05,0.001535,0.001632,0.0015679500000000002,0.0015680000000000002,2.86783454892363e-05,32,8,4096,14336,128256,True,4,8
0.019038999999999997,0.019328,0.01916285,0.019168,7.8503678257774e-05,0.017535000000000002,0.017696,0.01761425,0.017616,5.8562680095774076e-05,0.0051519999999999995,0.005344,0.005211199999999999,0.0052,4.9857396642825125e-05,0.001471,0.0015680000000000002,0.00151045,0.0015040000000000001,2.800263380469774e-05,32,8,4096,14336,128256,True,2,8
0.014783999999999997,0.016575,0.015011350000000001,0.014959999999999998,0.00036640350366774635,0.014719999999999997,0.015167999999999997,0.014900849999999998,0.014911999999999998,0.00010809175500471816,0.0030080000000000003,0.003104,0.0030575999999999997,0.00304,2.9459124223235065e-05,0.001312,0.0013759999999999998,0.0013440000000000001,0.0013440000000000001,2.2627416997969458e-05,32,8,4096,14336,128256,True,1,8
